Date,Cases,Deaths,Hospitalisations,Cases_diff,Deaths_diff
2021-04-23,421261.0,10567.0,38.0,353.0,3.0
2021-04-24,421598.0,10597.0,15.0,337.0,30.0
2021-04-25,421880.0,10604.0,12.0,282.0,7.0
2021-04-26,422147.0,10607.0,16.0,267.0,3.0
2021-04-27,422366.0,10627.0,9.0,219.0,20.0
2021-04-28,422720.0,10631.0,30.0,354.0,4.0
2021-04-29,422999.0,10645.0,36.0,279.0,14.0
2021-04-30,423545.0,10652.0,33.0,546.0,7.0
2021-05-01,424010.0,10663.0,32.0,465.0,11.0
2021-05-02,424326.0,10664.0,10.0,316.0,1.0
2021-05-03,424639.0,10671.0,26.0,313.0,7.0
2021-05-04,425080.0,10692.0,28.0,441.0,21.0
2021-05-05,425692.0,10711.0,40.0,612.0,19.0
2021-05-06,426380.0,10728.0,44.0,688.0,17.0
2021-05-07,427133.0,10741.0,41.0,753.0,13.0
2021-05-08,427782.0,10762.0,37.0,649.0,21.0
2021-05-09,428319.0,10770.0,22.0,537.0,8.0
2021-05-10,428717.0,10775.0,23.0,398.0,5.0
2021-05-11,429293.0,10791.0,63.0,576.0,16.0
2021-05-12,430310.0,10818.0,43.0,1017.0,27.0
2021-05-13,431598.0,10831.0,63.0,1288.0,13.0
2021-05-14,432810.0,10845.0,39.0,1212.0,14.0
2021-05-15,433819.0,10865.0,27.0,1009.0,20.0
2021-05-16,434597.0,10875.0,,778.0,10.0
2021-05-17,435321.0,10881.0,48.0,724.0,6.0
2021-05-18,436487.0,10913.0,43.0,1166.0,32.0
2021-05-19,437872.0,10948.0,79.0,1385.0,35.0
2021-05-20,439391.0,10965.0,60.0,1519.0,17.0
2021-05-21,440849.0,10985.0,50.0,1458.0,20.0
2021-05-22,442739.0,11012.0,46.0,1890.0,27.0
2021-05-23,443846.0,11032.0,47.0,1107.0,20.0
2021-05-24,444851.0,11039.0,68.0,1005.0,7.0
2021-05-25,446296.0,11075.0,99.0,1445.0,36.0
2021-05-26,448366.0,11099.0,121.0,2070.0,24.0
2021-05-27,450377.0,11141.0,108.0,2011.0,42.0
2021-05-28,452590.0,11164.0,112.0,2213.0,23.0
2021-05-29,454815.0,11190.0,67.0,2225.0,26.0
2021-05-30,456764.0,11207.0,66.0,1949.0,17.0
2021-05-31,458072.0,11224.0,95.0,1308.0,17.0
2021-06-01,459911.0,11268.0,141.0,1839.0,44.0
2021-06-02,462903.0,11322.0,143.0,2992.0,54.0
2021-06-03,465668.0,11339.0,129.0,2765.0,17.0
2021-06-04,468654.0,11363.0,165.0,2986.0,24.0
2021-06-05,471613.0,11404.0,40.0,2959.0,41.0
2021-06-06,474484.0,11411.0,77.0,2871.0,7.0
